fixture_name,expected_result,actual_result,pass/fail,what_behavior_this_proves,source_test_path,notes
target_before_stop,target,target,pass,target hit before later stop,tests/test_shadow_burnin_fidelity_fixtures.py,
stop_before_target,stop,stop,pass,stop hit before later target,tests/test_shadow_burnin_fidelity_fixtures.py,
target_and_stop_same_timestamp,stop,stop,pass,same timestamp tie uses stop-first after sorting ambiguity,tests/test_shadow_burnin_fidelity_fixtures.py,
target_and_stop_same_slot_unknown_order,ambiguous_same_timestamp_stop_first,ambiguous_same_timestamp_stop_first,pass,exact first-hit tie is explicitly ambiguous,tests/test_shadow_burnin_fidelity_fixtures.py,
sparse_path_timeout,timeout,timeout,pass,sparse path can only approximate timeout,tests/test_shadow_burnin_fidelity_fixtures.py,
no_path_point_before_max_hold,timeout_no_point_before_max_hold,timeout_no_point_before_max_hold,pass,timeout cannot infer PnL without pre-hold point,tests/test_shadow_burnin_fidelity_fixtures.py,
missing_exact_levels,timeout,timeout,pass,missing first_hit_ms levels fall back to timeout classification,tests/test_shadow_burnin_fidelity_fixtures.py,
exact_levels_vs_path_approximation,target,target,pass,exact levels can show target even if compressed path omits crossing,tests/test_shadow_burnin_fidelity_fixtures.py,
max_hold_shorter_than_first_hit,timeout,timeout,pass,hit after max_hold is not an exit,tests/test_shadow_burnin_fidelity_fixtures.py,
max_hold_longer_than_replay_horizon,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,pass,long horizon cannot be inferred past replay horizon,tests/test_shadow_burnin_fidelity_fixtures.py,
malformed_first_hit_ms,MALFORMED_FIRST_HIT_MS,MALFORMED_FIRST_HIT_MS,pass,malformed first_hit_ms is fail-closed,tests/test_shadow_burnin_fidelity_fixtures.py,
malformed_path_bps,MALFORMED_PATH_BPS,MALFORMED_PATH_BPS,pass,malformed path_bps is fail-closed,tests/test_shadow_burnin_fidelity_fixtures.py,
non_monotonic_path_age,NON_MONOTONIC,NON_MONOTONIC,pass,non-monotonic ages are detected,tests/test_shadow_burnin_fidelity_fixtures.py,
duplicate_path_timestamps,DUPLICATE_TIMESTAMPS,DUPLICATE_TIMESTAMPS,pass,duplicate path timestamps are detected,tests/test_shadow_burnin_fidelity_fixtures.py,
mfe_mae_reconstruction,200/-100,200/-100,pass,MFE/MAE are path max/min,tests/test_shadow_burnin_fidelity_fixtures.py,
entry_price_from_reserves,RECONSTRUCTED_FROM_RESERVES,RECONSTRUCTED_FROM_RESERVES,pass,reserve price reconstruction works,tests/test_shadow_burnin_fidelity_fixtures.py,price=3e-05
reserve_rounding_token_decimals,quote_decimals=9;base_decimals=6,quote_decimals=9;base_decimals=6,pass,token decimal candidate is explicit,tests/test_shadow_burnin_fidelity_fixtures.py,price=3.3333333333333337e-10
stale_state_snapshot,STALE_OR_PRE_DECISION,STALE_OR_PRE_DECISION,pass,pre-decision state is not future,tests/test_shadow_burnin_fidelity_fixtures.py,
post_decision_state_accidentally_used,POST_DECISION_STATE,POST_DECISION_STATE,pass,post-decision state is detected,tests/test_shadow_burnin_fidelity_fixtures.py,
own_trade_impact_absent,ABSENT,ABSENT,pass,own trade impact missing is explicit,tests/test_shadow_burnin_fidelity_fixtures.py,
slippage_absent,ABSENT,ABSENT,pass,slippage missing is explicit,tests/test_shadow_burnin_fidelity_fixtures.py,
lifecycle_duplicate_terminal_rows,DUPLICATE_TERMINAL_RECORDS,DUPLICATE_TERMINAL_RECORDS,pass,duplicate terminal rows are detected,tests/test_shadow_burnin_fidelity_fixtures.py,
ambiguous_fallback_joins,AMBIGUOUS_FALLBACK_JOIN,AMBIGUOUS_FALLBACK_JOIN,pass,ambiguous fallback is not accepted,tests/test_shadow_burnin_fidelity_fixtures.py,
missing_base_mint_pool_id,MISSING_IDENTITY,MISSING_IDENTITY,pass,missing pool/base identity is detected,tests/test_shadow_burnin_fidelity_fixtures.py,
replay_lifecycle_disagree,DISAGREE,DISAGREE,pass,replay/lifecycle disagreement is detected,tests/test_shadow_burnin_fidelity_fixtures.py,
