component,raw_bytes_present,hash_present,write_version_present,account_pubkey_present,retained_to_next_boundary,notes
yellowstone_account_update_to_geyser_event,true,false,true,true,true,"grpc_connection.rs:4341-4365 clones SubscribeUpdateAccount.account.data into GeyserEvent::AccountUpdate.data and carries write_version/pubkey/owner"
seer_geyser_event_account_update,true,false,true,true,true,"types.rs:243-259 defines GeyserEvent::AccountUpdate with slot,event_time,write_version,pubkey,data,owner"
seer_handle_account_update_live,true,false,true,true,false,"lib.rs:3239-3367 reads raw data and owner, decodes reserves, then send_account_update forwards decoded reserves without raw data/hash/data_len/owner"
seer_pending_curve_update_buffer,true,false,true,true,true_until_replay,"lib.rs:1062-1088 stores PendingCurveUpdateSnapshot.data Vec<u8>; lib.rs:3113-3132 queues raw bytes before curve->mint mapping"
seer_pending_curve_update_replay,true,false,true,true,false_after_ipc_send,"lib.rs:3032-3053 decodes replay.data and sends decoded AccountUpdate; raw bytes are not included in IPC event"
seer_ipc_detected_account_update_event,false,false,true,true,false,"ipc.rs:331-372 carries base_mint,bonding_curve,reserves,slot,write_version,replay metadata; no data/hash/data_len/owner"
seer_ipc_send_account_update,false,false,true,true,false,"ipc.rs:802-836 constructs DetectedAccountUpdateEvent from decoded reserves and metadata only"
launcher_seer_event_bus_account_update,false,false,true,true,false,"components/seer.rs:3751-3766 maps IPC DetectedAccountUpdateEvent into launcher AccountUpdateEvent without raw bytes/hash/data_len/owner"
launcher_account_update_event_schema,false,false,true,true,false,"events.rs:1017-1051 carries decoded reserves, slot, write_version and replay metadata; no account_data_hash/data_len/owner"
oracle_runtime_worker_event,false,false,true,true,false,"oracle_runtime.rs:24419-24506 queues AccountUpdateEvent and logs write_version; no raw bytes/hash available at worker"
oracle_runtime_build_account_state_update,false,false,true,true,false,"oracle_runtime.rs:2898-2947 builds AccountStateUpdate from decoded reserves, slot, write_version and identity; no hash/data_len/owner"
ghost_core_account_state_update,false,false,true,true,false,"account_state_core/types.rs:143-157 has pool/base/bonding/reserves/slot/write_version/receive/source; no raw bytes/hash/data_len/owner"
account_state_reducer_to_canonical_state,false,false,false,true,false,"account_state_core/reducer.rs:131-154 builds CanonicalPoolState but drops write_version and has no account_data_hash/data_len/owner"
ghost_core_canonical_pool_state,false,false,false,true,false,"account_state_core/types.rs:111-135 has bonding_curve,last_update_slot,last_update_ts_ms but no raw bytes/hash/write_version/data_len/owner"
shadow_v2_entry_boundary_schema,false,optional_field_only,false,via_canonical_pool_state,false,"events.rs:533-567 defines account_data_hash Option and canonical_pool_state; no source account metadata/write_version fields"
trigger_capture_entry_boundary,false,false,false,via_canonical_pool_state,false,"components/trigger/component.rs:2381-2427 fetches CanonicalPoolState and sets account_data_hash/source fields to None with ACCOUNT_DATA_HASH_UNAVAILABLE_IN_RUNTIME"
trigger_entry_boundary_test,false,false,false,via_canonical_pool_state,false,"components/trigger/component.rs:7288-7314 asserts boundary.account_data_hash.is_none and limitation exists"
post_buy_entry_pool_state_from_boundary,false,passthrough_only,false,via_canonical_pool_state,false,"components/post_buy_runtime.rs:3068-3164 passes boundary.account_data_hash.clone() into PoolStateSampleV2; current boundary supplies None"
pool_state_sample_v2_schema,false,optional_field_only,false,false,false,"shadow_v2.rs:1225-1248 includes account_data_hash Option; research_blockers requires non-empty hash at shadow_v2.rs:1404-1412"
pool_state_sample_v2_hash_helper,false,true_helper_only,false,false,false,"shadow_v2.rs:1458-1459 has account_data_hash_blake3(raw_account_data) but no runtime producer wires raw bytes to it"
pool_state_ssot_yellowstone_side_module,true,false,false,true,not_active_for_shadow_v2_boundary,"pool_state_ssot/yellowstone.rs:280-311 accepts raw data slice but rg finds no non-test on_raw_account_update callsite; not current launcher AccountStateCore path"
