record_schema,artifact_name,field_name,type,required,clock_domain,simulation_level,measurement_grade,temporal_class,quality_rule,live_equivalence_role,notes
live_calibration_manifest_v1,live_calibration_manifest.json,schema,string,true,wall_clock_ms,LIVE_CONFIRMED,DIAGNOSTIC_ONLY,UNKNOWN,must equal live_calibration_manifest_v1,manifest_identity,JSON object not JSONL
live_calibration_manifest_v1,live_calibration_manifest.json,calibration_dataset_id,string,true,wall_clock_ms,LIVE_CONFIRMED,DIAGNOSTIC_ONLY,UNKNOWN,non_empty,dataset_identity,stable id for all PR14 files
live_calibration_manifest_v1,live_calibration_manifest.json,created_at_wall_ms,u64,true,wall_clock_ms,LIVE_CONFIRMED,DIAGNOSTIC_ONLY,UNKNOWN,non_negative,manifest_timestamp,clock domain explicit
live_calibration_manifest_v1,live_calibration_manifest.json,simulation_contract_version,string,true,wall_clock_ms,LIVE_CONFIRMED,DIAGNOSTIC_ONLY,UNKNOWN,must equal shadow_burnin_simulation_v2_20260629,contract_version,no runtime enablement
live_calibration_manifest_v1,live_calibration_manifest.json,dataset_status,enum,true,wall_clock_ms,LIVE_CONFIRMED,DIAGNOSTIC_ONLY,UNKNOWN,must classify source,dataset_boundary,fixture data is not live-confirmed data
live_calibration_manifest_v1,live_calibration_manifest.json,source_mode,enum,true,wall_clock_ms,LIVE_CONFIRMED,DIAGNOSTIC_ONLY,UNKNOWN,must be explicit,source_boundary,LIVE_CONFIRMED or FIXTURE_ONLY
live_calibration_manifest_v1,live_calibration_manifest.json,required_for_live_equivalence,bool,true,wall_clock_ms,LIVE_CONFIRMED,DIAGNOSTIC_ONLY,UNKNOWN,must be true,live_equivalence_gate,PR14 is necessary not sufficient
live_calibration_manifest_v1,live_calibration_manifest.json,max_verdict_without_dataset,string,true,wall_clock_ms,LIVE_CONFIRMED,DIAGNOSTIC_ONLY,UNKNOWN,must equal SHADOW_V2_RESEARCH_GRADE_ONLY,overclaim_guard,absence blocks live-equivalence
live_calibration_manifest_v1,live_calibration_manifest.json,files,list,true,wall_clock_ms,LIVE_CONFIRMED,DIAGNOSTIC_ONLY,UNKNOWN,must include required files,dataset_completeness,manifest references all dataset files
live_transaction_attempt_v1,live_transaction_attempts.jsonl,schema,string,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,AT_DECISION,must equal live_transaction_attempt_v1,attempt_identity,one JSON object per line
live_transaction_attempt_v1,live_transaction_attempts.jsonl,calibration_dataset_id,string,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,UNKNOWN,non_empty,dataset_join,joins manifest
live_transaction_attempt_v1,live_transaction_attempts.jsonl,attempt_id,string,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,AT_DECISION,non_empty,attempt_identity,joins fills and comparison
live_transaction_attempt_v1,live_transaction_attempts.jsonl,run_id,string,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,AT_DECISION,non_empty,run_identity,not strategy proof
live_transaction_attempt_v1,live_transaction_attempts.jsonl,session_id,string,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,AT_DECISION,non_empty,session_identity,exact join support
live_transaction_attempt_v1,live_transaction_attempts.jsonl,position_id,string,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,AT_DECISION,non_empty,position_identity,canonical join support
live_transaction_attempt_v1,live_transaction_attempts.jsonl,side,enum,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,AT_DECISION,BUY or SELL,attempt_side,entry and exit separated
live_transaction_attempt_v1,live_transaction_attempts.jsonl,pool_id,string,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,AT_DECISION,non_empty,pool_identity,no fallback join
live_transaction_attempt_v1,live_transaction_attempts.jsonl,base_mint,string,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,AT_DECISION,non_empty,mint_identity,no wrong pool join
live_transaction_attempt_v1,live_transaction_attempts.jsonl,decision_ts_ms,u64,true,decision_ts_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,AT_DECISION,non_negative,latency_model,decision clock domain
live_transaction_attempt_v1,live_transaction_attempts.jsonl,submit_ts_ms,u64,true,submit_ts_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,POST_ENTRY,non_negative,latency_model,submit clock domain
live_transaction_attempt_v1,live_transaction_attempts.jsonl,landing_ts_ms,u64,true,landing_ts_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,POST_ENTRY,non_negative,latency_model,landing clock domain
live_transaction_attempt_v1,live_transaction_attempts.jsonl,decision_to_submit_ms,u64,true,monotonic_process_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,POST_ENTRY,must equal submit minus decision,latency_model,calibration input
live_transaction_attempt_v1,live_transaction_attempts.jsonl,submit_to_land_ms,u64,true,monotonic_process_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,POST_ENTRY,must equal landing minus submit,latency_model,calibration input
live_transaction_attempt_v1,live_transaction_attempts.jsonl,landing_slot,u64,true,chain_slot,LIVE_CONFIRMED,LIVE_CONFIRMED,POST_ENTRY,non_negative,landing_evidence,slot must be concrete
live_transaction_attempt_v1,live_transaction_attempts.jsonl,tx_signature,string,true,chain_slot,LIVE_CONFIRMED,LIVE_CONFIRMED,POST_ENTRY,concrete signature,landing_evidence,UNKNOWN not accepted for fill proof
live_transaction_attempt_v1,live_transaction_attempts.jsonl,fill_status,enum,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,POST_ENTRY,FILLED or NO_FILL or FAILED,fill_state,unknown is not success
live_transaction_attempt_v1,live_transaction_attempts.jsonl,failure_mode,enum,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,POST_ENTRY,explicit for NO_FILL or FAILED,failure_model,no generic failed bucket
live_transaction_attempt_v1,live_transaction_attempts.jsonl,priority_fee_lamports,u64,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,POST_ENTRY,non_negative,fee_model,priority fee evidence
live_transaction_attempt_v1,live_transaction_attempts.jsonl,jito_tip_lamports,u64,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,POST_ENTRY,non_negative,fee_model,Jito tip evidence
live_transaction_attempt_v1,live_transaction_attempts.jsonl,bundle_status,enum,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,POST_ENTRY,explicit,bundle_model,bundle success or failure evidence
live_transaction_attempt_v1,live_transaction_attempts.jsonl,compute_units_consumed,u64,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,POST_ENTRY,non_negative,compute_failure_model,compute telemetry
live_transaction_attempt_v1,live_transaction_attempts.jsonl,min_out,u64,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,AT_SUBMIT,non_negative,min_output_model,min output protection evidence
live_transaction_attempt_v1,live_transaction_attempts.jsonl,quote_price,f64,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,AT_SUBMIT,non_empty,quote_fill_divergence,quote before landing
live_confirmed_entry_fill_v1,live_confirmed_entry_fills.jsonl,schema,string,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,POST_ENTRY,must equal live_confirmed_entry_fill_v1,fill_identity,entry fill row
live_confirmed_entry_fill_v1,live_confirmed_entry_fills.jsonl,calibration_dataset_id,string,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,UNKNOWN,non_empty,dataset_join,joins manifest
live_confirmed_entry_fill_v1,live_confirmed_entry_fills.jsonl,attempt_id,string,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,POST_ENTRY,must join attempt,attempt_join,no orphan fill
live_confirmed_entry_fill_v1,live_confirmed_entry_fills.jsonl,fill_id,string,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,POST_ENTRY,non_empty,fill_identity,stable fill id
live_confirmed_entry_fill_v1,live_confirmed_entry_fills.jsonl,run_id,string,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,AT_DECISION,non_empty,run_identity,not strategy proof
live_confirmed_entry_fill_v1,live_confirmed_entry_fills.jsonl,session_id,string,true,wall_clock_ms,LIVE_CONFIRMED,LIVE_CONFIRMED,AT_DECISION,non_empty,session_identity,exact join
