blocker_id,area,current_status,evidence_source,blocks_diagnostic_sim,blocks_research_candidate,blocks_live_equivalence,required_fix,candidate_pr,risk,notes
L2_TEMP_BLOCK_TIME_UNKNOWN,temporal_no_lookahead,"block_time UNKNOWN for 252 ordering-sensitive rows","temporal audit on reports/selector/shadow-v2-terminal-executable-pnl-pr41-r1",false,true,true,"Carry block_time from chain source when available or define typed non-ordering exemption where provable",PR43-B,MEDIUM,"Does not break L1, but weakens L2 temporal provenance."
L2_TEMP_SIGNATURE_UNKNOWN,temporal_no_lookahead,"signature UNKNOWN for 168 ordering-sensitive rows","temporal audit explicit_unknown_chain_order_components",false,true,true,"Propagate source transaction/event signature into EventOrderKey or keep typed blocker",PR43-B,HIGH,"Signature is part of complete chain-order proof for same-slot evidence."
L2_TEMP_TX_INDEX_UNKNOWN,temporal_no_lookahead,"transaction_index UNKNOWN for 252 rows","temporal audit explicit_unknown_chain_order_components",false,true,true,"Propagate tx_index from Program Streams/Geyser where available",PR43-B,HIGH,"Same-slot order cannot be research-grade without tx ordering or typed proof."
L2_TEMP_INSTRUCTION_INDEX_UNKNOWN,temporal_no_lookahead,"instruction_index UNKNOWN for 252 rows","temporal audit explicit_unknown_chain_order_components",false,true,true,"Propagate instruction index or define explicit not-applicable policy per event family",PR43-B,HIGH,"Required to avoid silent intra-transaction ambiguity."
L2_TEMP_INNER_LOG_INDEX_UNKNOWN,temporal_no_lookahead,"inner_instruction_index and log_index UNKNOWN for 252 rows","temporal audit explicit_unknown_chain_order_components",false,true,true,"Propagate inner/log indices from parsed events where available",PR43-B,HIGH,"Affects exact ordering around path/fill/terminal evidence."
L2_TEMP_SAME_SLOT_AMBIGUITY,temporal_no_lookahead,"complete chain order is not guaranteed when events share slot","EventOrderKey::same_slot_ambiguous_with and temporal audit",false,true,true,"Eliminate same-slot ambiguity for fill boundaries or keep typed BLOCKED verdict",PR43-B,HIGH,"event_seq_in_process is not enough as chain proof."
L2_PROV_ACCOUNT_DATA_HASH_MISSING,pool_state_provenance,"POOL_STATE_ACCOUNT_DATA_HASH_UNAVAILABLE_IN_RUNTIME remains expected for runtime boundary samples","PoolStateSampleV2::research_blockers and boundary capture",false,true,true,"Compute/carry raw account data hash from ingest/reducer boundary into PoolStateSampleV2",PR44,HIGH,"Blocks research_provenance_ready but not diagnostic execution."
L2_PROV_RAW_ACCOUNT_HASH_NOT_IN_STATE,pool_state_provenance,"CanonicalPoolState and AccountStateUpdate do not carry raw account bytes/hash","ghost-core/src/account_state_core/types.rs",false,true,true,"Extend reducer/update state with durable raw-account hash or hash side field",PR44,HIGH,"Do not fake hash from decoded fields unless named as decoded-state hash."
L2_PROV_HASH_CONTRACT_UNDEFINED,pool_state_provenance,"Research hash contract is not formalized for raw bytes vs decoded state","ADR/report audit of current schema",false,true,true,"Define account_data_hash as raw account bytes hash and optional decoded_state_hash separately",PR44,MEDIUM,"Needed before marking provenance_ready=true."
L2_DENSITY_NO_EVALUABLE_HORIZONS,path_density,"density audit has zero EVALUABLE_EXACT/EVALUABLE_APPROX/SPARSE rows for required horizons","path density audit on PR41 scope",false,true,true,"Run/configure L2 path sampler and replay horizon for claimed horizons",PR45,HIGH,"Current rows are mostly no coverage or horizon exceeds replay."
