item,logged,modeled,required_for_live_equivalence,impact_if_missing,severity,can_reconstruct_offline,evidence_path,required_fix_or_instrumentation
transaction construction delay,False,False,True,missing latency shifts live entry/exit price,HIGH,False,shadow_exit_replay_v1 lacks submit/land fields,log decision-to-build/submit timing
decision-to-submit latency,False,False,True,live price may move after decision,CRITICAL,False,shadow entry timestamp anchored to decision timing,log submit timestamp and latency
submit-to-land latency,False,False,True,live fill depends on landing slot,CRITICAL,False,no landing slot in replay/lifecycle rows,log landed slot/time or failed status
slot/block position,False,False,True,intra-slot ordering can change fill/path,HIGH,False,path_bps only has age/pnl,log slot and order proxy per sample
priority fee,False,False,True,landing probability not modeled,HIGH,False,shadow replay not execution artifact,log fee policy and actual fee
Jito tip,False,False,True,bundle success/ordering unmodeled,HIGH,False,not present in shadow artifacts,log tip and bundle result
Jito bundle success/fail,False,False,True,failed bundle means no fill,CRITICAL,False,not present in shadow artifacts,log bundle lifecycle
recent blockhash / durable nonce behavior,False,False,True,expired tx not represented,HIGH,False,no blockhash fields in shadow replay,log blockhash age/validity
actual landing slot,False,False,True,entry state cannot be live-equivalent,CRITICAL,False,no landing slot evidence,record landing slot for live/shadow-probe attempts
failed transactions,False,False,True,strategy PnL ignores no-fill/failures,CRITICAL,False,shadow closes assume simulated positions,model/log failed landing and no-fill
partial fills,False,False,False,"Solana AMM swaps are atomic, but no-fill still matters",LOW,False,not applicable unless execution source supports partial,document N/A or execution-specific handling
entry slippage,False,False,True,logged mark/fill approximation may exceed executable min output,CRITICAL,False,shadow entry has price but not live slippage outcome,"log quote, min_out, realized fill"
exit slippage,False,False,True,exit PnL may be materially overstated,CRITICAL,False,resolve_shadow_exit called with zero slippage cost in runtime path,model sell quote/min_out/fees
own buy price impact,False,False,True,entry price ignores own liquidity impact unless quote already embeds it,HIGH,False,not proven by replay artifacts,log reserve before/after own simulated buy
own sell price impact,False,False,True,exit mark may differ from executable sell,HIGH,False,path_bps is mark-like price path,log executable sell quote
AMM fee,False,False,True,gross path may overstate net PnL,HIGH,False,no fee fields in exit replay,log AMM and protocol fees
account-state commitment level,False,False,True,processed/confirmed/finalized divergence untracked,MEDIUM,False,artifact lacks commitment,log commitment level per sample
RPC/stream delay,False,False,True,shadow samples may lag chain truth,HIGH,False,no stream delay fields in replay,log event receive vs chain slot/time
reorg/fork handling,False,False,True,forked state can corrupt path,MEDIUM,False,not evidenced in artifacts,log slot status/finality source
quote/fill divergence,False,False,True,quote does not prove landed fill,CRITICAL,False,shadow is simulated,record quote and landed fill separately
minimum output protection,True,False,True,"some shadow entry paths carry min_tokens_out, but replay rows do not prove live min_out execution",HIGH,False,ghost-brain/src/execution/shadow.rs,carry min_out into lifecycle/replay evidence
compute failure,False,False,True,program failure unmodeled,HIGH,False,no simulation/live failure class in replay,log simulation/program error classes
contention with other bots,False,False,True,landing and price path can drift materially,HIGH,False,not modeled in shadow path,log account contention/failed inclusion evidence
