metric,value,notes
final_verdict,L2_B_ACCOUNT_DATA_HASH_PROPAGATED_STILL_L2_BLOCKED,Account-state hash proof propagated but L2 still blocked by temporal density denominator and research validation stages
raw_hash_source,Seer GeyserEvent AccountUpdate data,BLAKE3 is computed from original raw account update bytes before decode
hash_algorithm,BLAKE3(raw_account_update_bytes),Do not hash decoded reserves or CanonicalPoolState
raw_bytes_hot_state_retention,false,Runtime carries hash and metadata only
new_provider_streams,0,Existing Seer/Geyser account updates provide raw bytes
live_account_update_path,implemented,Seer live handle_account_update computes hash and data length
pending_replay_path,implemented,Pending curve update replay computes hash from retained replay.data before IPC
ipc_metadata_propagation,implemented,DetectedAccountUpdateEvent carries hash len source account pubkey and owner/program
launcher_event_propagation,implemented,AccountUpdateEvent carries hash len source account pubkey and owner/program
account_state_update_propagation,implemented,OracleRuntime carries metadata into AccountStateUpdate
canonical_pool_state_propagation,implemented,AccountStateReducer carries metadata into CanonicalPoolState
entry_boundary_propagation,implemented,ShadowV2EntryBoundaryPayload carries hash len source account pubkey owner and write_version
pool_state_sample_propagation,implemented,PoolStateSampleV2 carries hash len source account slot write_version pubkey and owner/program
account_data_hash_required_coverage,observed_account_state_boundary_samples_only,Derived terminal legacy and not-applicable rows excluded from denominator
missing_hash_behavior,typed_blocker,ACCOUNT_DATA_HASH_UNAVAILABLE_IN_RUNTIME or POOL_STATE_ACCOUNT_DATA_HASH_MISSING remains when hash unavailable
missing_metadata_behavior,typed_blocker,PoolStateSampleV2 emits typed blockers for missing len source pubkey owner slot or write_version
decision_path_consumption,false,Shadow V2 account hash evidence remains diagnostic/offline evidence only
gatekeeper_policy_changed,false,No BUY REJECT or Gatekeeper policy change
selector_runtime_changed,false,No selector runtime decision change
tx_jito_live_path_changed,false,No TX Jito or live path change
has_complete_chain_order_changed,false,Transaction-order predicate remains unchanged
account_state_proof_separate,true,Account-state proof does not masquerade as transaction chain-order proof
terminal_truth_derived,true,Terminal truth and derived after-state remain derived evidence
runtime_approval,false,Not granted
research_grade,false,Not granted in L2-B
live_equivalence,false,Not granted
strategy_research_unblocked,false,Not granted
remaining_blocker_temporal,true,Temporal PASS and exact source joins remain L2 blockers
remaining_blocker_density,true,Density horizon and retention contract remain L2 blockers
remaining_blocker_gatekeeper_denominator,true,Gatekeeper coverage denominator and starvation audit remain L2 blockers
remaining_blocker_research_validation,true,Dedicated research validation run remains L2 blocker
recommended_next_stage,L2-C_TEMPORAL_SOURCE_JOIN_CLOSURE,Proceed only after L2-B checks pass
