event_family,component,current_classification,source_available_in_provider_or_ingest,source_available_in_current_code,source_carried_in_handoff,blocks_l2,blocks_l3,required_fix,candidate_pr,verdict,notes
ENTRY_ATTEMPT,block_time,UNKNOWN,yes_geyser_transaction_and_nln_trade_can_have_block_time,no_shadow_entry_attempt_uses_None,no,yes,yes,carry block_time from accepted source event or mark unknown required,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,post_buy_runtime EventOrderKey helper supports block_time but caller passes None
ENTRY_ATTEMPT,source_tx_signature,KNOWN_FROM_POSTBUY_SIGNATURE_OR_UNKNOWN,yes_trade_events_have_signature,yes_postbuy_handoff_has_signature,partial,yes,yes,prove signature is chain source tx signature or keep UNKNOWN,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current signature may be shadow handoff signature not full source-order proof
ENTRY_ATTEMPT,transaction_index,UNKNOWN,yes_nln_and_pool_transaction_have_tx_index,yes_pool_transaction_has_tx_index,no,yes,yes,carry tx_index from accepted source event into shadow handoff,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current entry attempt does not receive tx_index
ENTRY_ATTEMPT,instruction_index,UNKNOWN,yes_raw_parser_and_nln_message_can_have_instruction_index,yes_pool_transaction_outer_instruction_index_exists,no,yes,yes,carry outer_instruction_index into shadow handoff,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current entry attempt does not receive instruction index
ENTRY_ATTEMPT,inner_instruction_index,UNKNOWN,partial_raw_parser_has_inner_group_index_not_exact_inner_ix,yes_pool_transaction_inner_group_index_exists,no,yes,yes,define mapping from inner_group_index to EventOrderKey or keep UNKNOWN,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current code has inner group not exact inner instruction/log order
ENTRY_ATTEMPT,log_index,SOLANA_NATIVE_LOG_INDEX_NOT_APPLICABLE,solana_native_log_index_not_applicable; raw_meta_log_messages_can_be_enumerated_for_internal_ordinal,yes_geyser_transaction_has_logs_vec_but_not_shadow_boundary_handoff,no,yes,yes,clarify log_index_or_unknown as non-native internal log message ordinal or rename later,PR43-E,SOLANA_NATIVE_LOG_INDEX_NOT_APPLICABLE,Solana has no EVM-style native logIndex; internal log message index is optional derived metadata from meta.logMessages and is not currently carried to Shadow V2
ENTRY_POOL_STATE_BEFORE,block_time,UNKNOWN,yes_geyser_transaction_and_nln_trade_can_have_block_time,yes_payload_field_exists_but_trigger_sets_None,no,yes,yes,capture source_block_time at Trigger ENTRY_BEFORE boundary,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,ShadowV2EntryBoundaryPayload has source_block_time but capture leaves None
ENTRY_POOL_STATE_BEFORE,source_tx_signature,UNKNOWN,yes_trade_events_have_signature,yes_payload_field_exists_but_trigger_sets_None,no,yes,yes,capture source_tx_signature with boundary or keep UNKNOWN,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,PR43-C confirmed entry pool state no longer reuses fake handoff signature
ENTRY_POOL_STATE_BEFORE,transaction_index,UNKNOWN,yes_nln_and_pool_transaction_have_tx_index,yes_payload_field_exists_but_trigger_sets_None,no,yes,yes,capture source_transaction_index at boundary,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,payload schema exists but no source is wired into Trigger capture
ENTRY_POOL_STATE_BEFORE,instruction_index,UNKNOWN,yes_raw_parser_and_nln_message_can_have_instruction_index,yes_payload_field_exists_but_trigger_sets_None,no,yes,yes,capture source_instruction_index at boundary,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,payload schema exists but no source is wired into Trigger capture
