family,classifier,field_or_rule,operator,threshold,source,used_as_feature,notes
classifier,R0_BROAD,any joined replay row with decision-time feature snapshot,exists,,PR-RUG-MARKUP-A0 fixed classifier family,True,broad baseline; pool_id/base_mint used only for join
classifier,R1_DEV_SIGNER_CONCENTRATION,(dev_tx_ratio >= 0.15 OR dev_volume_ratio >= 0.30) AND (hhi/buyer_hhi >= 0.10 OR top3 ratio >= 0.55),fixed_rule,,PR-RUG-MARKUP-A0 static A0 thresholds; no R50 tuning,True,pre-entry/dev/signer concentration only
classifier,R2_BUY_BURST_MARKUP,buy_count >= 8 AND (buy_ratio >= 0.55 OR sol_buy_ratio >= 0.55) AND burst/same-ms/delta-buy condition,fixed_rule,,PR-RUG-MARKUP-A0 static A0 thresholds; no R50 tuning,True,early buy burst markup profile
classifier,R3_SCAMBOT_COORDINATION,(signer_cross_pool_velocity >= 0.25 OR cpv_other_pool_activity >= 0.50) AND coordination concentration/burst condition,fixed_rule,,PR-RUG-MARKUP-A0 static A0 thresholds; no R50 tuning,True,cross-pool/scambot coordination profile
classifier,R4_MARKUP_WITH_DUMP_RISK,R2 plus overextension plus dump-risk concentration,fixed_rule,,PR-RUG-MARKUP-A0 static A0 thresholds; no R50 tuning,True,markup phase with dump risk profile
exit_grid,ALL,target_bps,fixed_value,1000,user predeclared grid,False,evaluation-only target; not input feature
exit_grid,ALL,target_bps,fixed_value,1500,user predeclared grid,False,evaluation-only target; not input feature
exit_grid,ALL,target_bps,fixed_value,2000,user predeclared grid,False,evaluation-only target; not input feature
exit_grid,ALL,target_bps,fixed_value,2500,user predeclared grid,False,evaluation-only target; not input feature
exit_grid,ALL,stop_bps,fixed_value,-300,user predeclared grid,False,evaluation-only stop; not input feature
exit_grid,ALL,stop_bps,fixed_value,-500,user predeclared grid,False,evaluation-only stop; not input feature
exit_grid,ALL,stop_bps,fixed_value,-700,user predeclared grid,False,evaluation-only stop; not input feature
exit_grid,ALL,stop_bps,fixed_value,-1000,user predeclared grid,False,evaluation-only stop; not input feature
exit_grid,ALL,max_hold_ms,fixed_value,20000,user predeclared grid,False,evaluation-only hold; not input feature
exit_grid,ALL,max_hold_ms,fixed_value,30000,user predeclared grid,False,evaluation-only hold; not input feature
exit_grid,ALL,max_hold_ms,fixed_value,40000,user predeclared grid,False,evaluation-only hold; not input feature
forbidden_feature,ALL,final_pnl,not_used,,PR-RUG-MARKUP-A0 leakage guard,False,not used as classifier input
forbidden_feature,ALL,final_pnl_bps,not_used,,PR-RUG-MARKUP-A0 leakage guard,False,not used as classifier input
forbidden_feature,ALL,target,not_used,,PR-RUG-MARKUP-A0 leakage guard,False,not used as classifier input
forbidden_feature,ALL,stop,not_used,,PR-RUG-MARKUP-A0 leakage guard,False,not used as classifier input
forbidden_feature,ALL,timeout,not_used,,PR-RUG-MARKUP-A0 leakage guard,False,not used as classifier input
forbidden_feature,ALL,target_label,not_used,,PR-RUG-MARKUP-A0 leakage guard,False,not used as classifier input
forbidden_feature,ALL,stop_label,not_used,,PR-RUG-MARKUP-A0 leakage guard,False,not used as classifier input
forbidden_feature,ALL,timeout_label,not_used,,PR-RUG-MARKUP-A0 leakage guard,False,not used as classifier input
forbidden_feature,ALL,exit_result,not_used,,PR-RUG-MARKUP-A0 leakage guard,False,not used as classifier input
forbidden_feature,ALL,pool_id,not_used,,PR-RUG-MARKUP-A0 leakage guard,False,not used as classifier input
forbidden_feature,ALL,mint,not_used,,PR-RUG-MARKUP-A0 leakage guard,False,not used as classifier input
forbidden_feature,ALL,base_mint,not_used,,PR-RUG-MARKUP-A0 leakage guard,False,not used as classifier input
forbidden_feature,ALL,signer,not_used,,PR-RUG-MARKUP-A0 leakage guard,False,not used as classifier input
forbidden_feature,ALL,signer_id,not_used,,PR-RUG-MARKUP-A0 leakage guard,False,not used as classifier input
forbidden_feature,ALL,dev_wallet,not_used,,PR-RUG-MARKUP-A0 leakage guard,False,not used as classifier input
forbidden_feature,ALL,dev_wallet_id,not_used,,PR-RUG-MARKUP-A0 leakage guard,False,not used as classifier input
forbidden_feature,ALL,path_bps,not_used,,PR-RUG-MARKUP-A0 leakage guard,False,not used as classifier input
