component,file_path,symbol/function/struct,responsibility,evidence_type,inspected,risk_notes
pool_detection,ghost-launcher/src/oracle_runtime.rs,OracleRuntime pool registration / NewPoolDetected handling,"session creation, pool identity handoff, decision logging context",source_code_trace,True,present
pool_state_snapshot,ghost-brain/src/oracle/snapshot_engine.rs,SnapshotEngine::handle_initialize_pool_event / handle_tx_event,local bootstrap and tx-derived pool price/reserve snapshots,source_code_trace,True,present
materialized_feature_snapshot,ghost-launcher/src/session/observation.rs,PoolObservationSession::materialize_features,canonical decision snapshot boundary,source_code_trace,True,present
feature_builder,ghost-core/src/checkpoint/feature_builder.rs,FeatureBuilder / checkpoint feature aggregation,checkpoint-derived materialized evidence,source_code_trace,True,present
checkpoint_types,ghost-core/src/checkpoint/types.rs,checkpoint data types,typed checkpoint inputs to materialization,source_code_trace,True,present
checkpoint_module,ghost-core/src/checkpoint/mod.rs,checkpoint module exports,checkpoint ownership surface,source_code_trace,True,present
shadow_entry_creation,ghost-launcher/src/oracle_runtime.rs,shadow_entry_record_from_event / shadow_entry_record_from_request,synthetic shadow entry row and entry price construction,source_code_trace,True,present
shadow_execution_backend,ghost-brain/src/execution/shadow.rs,ShadowBackend::execute_prepared_entry,prepared-entry shadow fill mirror and shadow_entries writer,source_code_trace,True,present
shadow_position_lifecycle,ghost-brain/src/guardian/post_buy/engine.rs,ShadowPostBuyEngine lifecycle emitters,"shadow position tracking, threshold closes, lifecycle JSONL",source_code_trace,True,present
shadow_exit_replay,ghost-brain/src/guardian/post_buy/exit_replay.rs,ShadowExitReplayRecord / ShadowExitReplayWriter,"path_bps, first_hit_ms, MFE/MAE, replay-side outcome evidence",source_code_trace,True,present
shadow_exit_replay_config,ghost-brain/src/guardian/post_buy/config.rs,ShadowExitReplayConfig,research sidecar config; explicit non-policy boundary,source_code_trace,True,present
decision_logging,ghost-brain/src/oracle/decision_logger.rs,DecisionLogger / GatekeeperBuyLog,gatekeeper_v2_decisions and selector_shadow_score_v1 JSONL surface,source_code_trace,True,present
counterfactual_lab,scripts/time_stop_v2_counterfactual_lab.py,time-stop v2 counterfactual reader,downstream research consumer of shadow exit/path metrics,source_code_trace,True,present
artifact:R48/R2:probe_shadow_lifecycle.jsonl,/mnt/HC_Volume_105935807/logs/shadow_run/shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2/probe_shadow_lifecycle.jsonl,probe_shadow_lifecycle.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=COMPLETED_OR_HISTORICAL; exists=True; size_bytes=7060621; line_count=2422; sha256=85137494e110665b0660ed5351603fee4a570f31b9e03220a63bb2e4e3544fe7; schema={'UNKNOWN': 2422}; run_id_coverage=1; session_id_coverage=1; pool_id_coverage=1211; base_mint_coverage=1211; timestamp_rows=2422; slot_rows=2422; malformed_rows=0; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=YES; no_artifact_parse_risk_detected
artifact:R48/R2:shadow_exit_replay_v1.jsonl,/mnt/HC_Volume_105935807/logs/shadow_run/shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2/shadow_exit_replay_v1.jsonl,shadow_exit_replay_v1.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=COMPLETED_OR_HISTORICAL; exists=True; size_bytes=10973969; line_count=4341; sha256=1810e4b4f8cfd6abef1bb24975549058e9a62edb988b0b2c1d85e2a4f9db9984; schema={'shadow_exit_replay_v1': 4341}; run_id_coverage=1; session_id_coverage=1; pool_id_coverage=4341; base_mint_coverage=4341; timestamp_rows=4341; slot_rows=0; malformed_rows=0; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=YES; no_artifact_parse_risk_detected
artifact:R48/R2:shadow_lifecycle.jsonl,/mnt/HC_Volume_105935807/logs/shadow_run/shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2/shadow_lifecycle.jsonl,shadow_lifecycle.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=COMPLETED_OR_HISTORICAL; exists=True; size_bytes=40259676; line_count=13742; sha256=685ec908f064dcd15912785ce8783fddd8bca650d8e7100a25a69d7d34252954; schema={'UNKNOWN': 13732}; run_id_coverage=1; session_id_coverage=1; pool_id_coverage=5059; base_mint_coverage=5059; timestamp_rows=13732; slot_rows=8682; malformed_rows=10; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=NO; malformed_rows=10
artifact:R48/R2:gatekeeper_v2_decisions.jsonl,,gatekeeper_v2_decisions.jsonl,expected evidence artifact,missing_artifact,True,BLOCKED_BY_MISSING_EVIDENCE; scope_status=COMPLETED_OR_HISTORICAL
artifact:R48/R2:selector_shadow_score_v1.jsonl,,selector_shadow_score_v1.jsonl,expected evidence artifact,missing_artifact,True,BLOCKED_BY_MISSING_EVIDENCE; scope_status=COMPLETED_OR_HISTORICAL
artifact:R48/R2:pre_run_manifest,,pre_run_manifest,expected evidence artifact,missing_artifact,True,BLOCKED_BY_MISSING_EVIDENCE; scope_status=COMPLETED_OR_HISTORICAL
artifact:R48/R2:post_run_manifest,,post_run_manifest,expected evidence artifact,missing_artifact,True,BLOCKED_BY_MISSING_EVIDENCE; scope_status=COMPLETED_OR_HISTORICAL
artifact:R49:probe_shadow_lifecycle.jsonl,/mnt/HC_Volume_105935807/logs/shadow_run/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/probe_shadow_lifecycle.jsonl,probe_shadow_lifecycle.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=COMPLETED_OR_HISTORICAL; exists=True; size_bytes=27343702; line_count=7915; sha256=d1cd54a8b5d7708ca9f0f7a600aaed13a8056a596e8c5080ad54b2170f434aa5; schema={'UNKNOWN': 7915}; run_id_coverage=1; session_id_coverage=1; pool_id_coverage=840; base_mint_coverage=840; timestamp_rows=7915; slot_rows=7915; malformed_rows=0; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=YES; no_artifact_parse_risk_detected
artifact:R49:shadow_exit_replay_v1.jsonl,/mnt/HC_Volume_105935807/logs/shadow_run/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/shadow_exit_replay_v1.jsonl,shadow_exit_replay_v1.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=COMPLETED_OR_HISTORICAL; exists=True; size_bytes=11742516; line_count=4748; sha256=1ae347082477c6d83685a29104fd4cdad6b79aa325c7fa9475b2b77851f46f4d; schema={'shadow_exit_replay_v1': 4748}; run_id_coverage=1; session_id_coverage=1; pool_id_coverage=4748; base_mint_coverage=4748; timestamp_rows=4748; slot_rows=0; malformed_rows=0; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=YES; no_artifact_parse_risk_detected
artifact:R49:shadow_lifecycle.jsonl,/mnt/HC_Volume_105935807/logs/shadow_run/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/shadow_lifecycle.jsonl,shadow_lifecycle.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=COMPLETED_OR_HISTORICAL; exists=True; size_bytes=280671496; line_count=86425; sha256=SKIPPED_TOO_LARGE; schema={'UNKNOWN': 86401}; run_id_coverage=1; session_id_coverage=1; pool_id_coverage=5241; base_mint_coverage=5241; timestamp_rows=86401; slot_rows=81173; malformed_rows=24; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=NO; malformed_rows=24
artifact:R49:gatekeeper_v2_decisions.jsonl,,gatekeeper_v2_decisions.jsonl,expected evidence artifact,missing_artifact,True,BLOCKED_BY_MISSING_EVIDENCE; scope_status=COMPLETED_OR_HISTORICAL
artifact:R49:selector_shadow_score_v1.jsonl,,selector_shadow_score_v1.jsonl,expected evidence artifact,missing_artifact,True,BLOCKED_BY_MISSING_EVIDENCE; scope_status=COMPLETED_OR_HISTORICAL
artifact:R49:pre_run_manifest,,pre_run_manifest,expected evidence artifact,missing_artifact,True,BLOCKED_BY_MISSING_EVIDENCE; scope_status=COMPLETED_OR_HISTORICAL
artifact:R49:post_run_manifest,,post_run_manifest,expected evidence artifact,missing_artifact,True,BLOCKED_BY_MISSING_EVIDENCE; scope_status=COMPLETED_OR_HISTORICAL
artifact:R50:gatekeeper_v2_decisions.jsonl,/mnt/HC_Volume_105935807/logs/rollout/shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1/decisions/shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1/v2.2/legacy_live/ba77fb17e35a73ba5efe8f4640339922d4f1ccaf3735ea18931f8b0e65f11970/gatekeeper_v2_decisions.jsonl,gatekeeper_v2_decisions.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=COMPLETED_OR_HISTORICAL; exists=True; size_bytes=1371350604; line_count=13406; sha256=SKIPPED_TOO_LARGE; schema={'UNKNOWN': 13405}; run_id_coverage=1; session_id_coverage=1; pool_id_coverage=13405; base_mint_coverage=13405; timestamp_rows=13405; slot_rows=0; malformed_rows=1; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=NO; malformed_rows=1
artifact:R50:gatekeeper_v2_decisions.jsonl,/mnt/HC_Volume_105935807/logs/rollout/shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1/decisions/shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1/v2.5/v25_shadow/ba77fb17e35a73ba5efe8f4640339922d4f1ccaf3735ea18931f8b0e65f11970/gatekeeper_v2_decisions.jsonl,gatekeeper_v2_decisions.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=COMPLETED_OR_HISTORICAL; exists=True; size_bytes=1370423178; line_count=13406; sha256=SKIPPED_TOO_LARGE; schema={'UNKNOWN': 13405}; run_id_coverage=1; session_id_coverage=1; pool_id_coverage=13405; base_mint_coverage=13405; timestamp_rows=13405; slot_rows=0; malformed_rows=1; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=NO; malformed_rows=1
artifact:R50:launcher_report,/root/Gho-tsv2-a1-a2-clean/reports/selector/shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1/run_lifecycle_guard_20260627T224520Z/RUN_LIFECYCLE_LAUNCHER_REPORT.json,launcher_report,available local evidence artifact,run_report_or_manifest,True,scope_status=COMPLETED_OR_HISTORICAL; exists=True; size_bytes=17389; line_count=387; sha256=525b1d7630410c225882a1424f082382a328ff3bbff34eebbc2e302076797bc7; schema={}; run_id_coverage=0; session_id_coverage=0; pool_id_coverage=0; base_mint_coverage=0; timestamp_rows=0; slot_rows=0; malformed_rows=0; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=YES; no_artifact_parse_risk_detected
artifact:R50:launcher_report,/root/Gho-tsv2-a1-a2-clean/reports/selector/shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1/run_lifecycle_guard_20260627T224520Z/RUN_LIFECYCLE_LAUNCHER_REPORT.md,launcher_report,available local evidence artifact,run_report_or_manifest,True,scope_status=COMPLETED_OR_HISTORICAL; exists=True; size_bytes=1162; line_count=33; sha256=e385661ac0422483bf9ec251238b0b24a2b705b3e4cc911e691d8bcfcd33543d; schema={}; run_id_coverage=0; session_id_coverage=0; pool_id_coverage=0; base_mint_coverage=0; timestamp_rows=0; slot_rows=0; malformed_rows=0; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=YES; no_artifact_parse_risk_detected
artifact:R50:probe_shadow_lifecycle.jsonl,/mnt/HC_Volume_105935807/logs/shadow_run/shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1/probe_shadow_lifecycle.jsonl,probe_shadow_lifecycle.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=COMPLETED_OR_HISTORICAL; exists=True; size_bytes=38523937; line_count=11048; sha256=fa409539cbd801b8985129792aa857442099eecb86a62c4a859a6cdd1ca438bb; schema={'UNKNOWN': 11047}; run_id_coverage=1; session_id_coverage=1; pool_id_coverage=1149; base_mint_coverage=1149; timestamp_rows=11047; slot_rows=11047; malformed_rows=1; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=NO; malformed_rows=1
artifact:R50:selector_shadow_score_v1.jsonl,/mnt/HC_Volume_105935807/logs/rollout/shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1/decisions/shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1/v2.2/legacy_live/ba77fb17e35a73ba5efe8f4640339922d4f1ccaf3735ea18931f8b0e65f11970/selector_shadow_score_v1.jsonl,selector_shadow_score_v1.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=COMPLETED_OR_HISTORICAL; exists=True; size_bytes=46668580; line_count=13406; sha256=2595c5d81b051a5ce213a6e3337b7f0f993069864be3de92474ddbeb5b0a148b; schema={'selector_shadow_score_v1': 13406}; run_id_coverage=0; session_id_coverage=0; pool_id_coverage=13406; base_mint_coverage=13406; timestamp_rows=13406; slot_rows=0; malformed_rows=0; duplicate_identity_keys=0; missing_identity_keys=13406; safe_for_research_use=LIMITED; missing_identity_keys=13406
