pr_id,title,purpose,likely_files,runtime_risk,test_commands,acceptance_gates,rollback_plan,evidence_generated,explicit_non_changes,status
PR0,Freeze truth,Freeze current fidelity audit and downgrade pack,PLANS/AUDYT|docs/ADR|reports/selector,LOW,git cat-file remote checks,baseline verdict present,revert docs commit only,fidelity audit and downgrade evidence,no runtime changes,DONE_ON_ORIGIN_MAIN
PR1,Contracts and schemas,Define Shadow V2 schema contract acceptance vocabulary ShadowPositionV2 and typed event order unknowns,docs/SPEC|docs/ADR|reports/selector|ghost-brain/src/guardian/post_buy/shadow_v2.rs,LOW,cargo test -p ghost-brain shadow_v2,schema serialization typed UNKNOWN and clock-domain manifest tests pass,revert PR1 fix commit,contract spec schema manifest gates risk register,no runtime enablement,DONE_ON_ORIGIN_MAIN
PR2,Canonical identity and terminal truth,Add one position id one event stream one terminal truth with durable JSONL restart indexing,ghost-brain/src/guardian/post_buy/shadow_v2,MEDIUM,cargo test -p ghost-brain shadow_v2,duplicate terminals duplicate event ids and memory durable divergence blocked,revert PR2 commit,terminal truth invariant and durable restart evidence,no V1 deletion,DONE_ON_ORIGIN_MAIN
PR3,Pool state provenance recorder,Record every price source as pool_state_sample_v2 with hash staleness order and explicit temporal context,ghost-brain/src/guardian/post_buy/shadow_v2,MEDIUM,cargo test -p ghost-brain shadow_v2,no sample without slot time source hash staleness order temporal class or normalization,disable V2 writer,pool state provenance blocker and ambiguity evidence,ShadowLedger diagnostic only not canonical,DONE_ON_ORIGIN_MAIN
PR4,Deterministic price reconstruction library,Add independent mark price quote impact fee slippage and decimal normalization formulas,ghost-core/src/shadow_v2_price.rs|ghost-core/src/lib.rs,MEDIUM,cargo test -p ghost-core shadow_v2_price,7 formula fixtures pass including BUY SELL off-by-one rounding,revert shadow_v2_price module and lib export,price reconstruction evidence,no runtime policy change,DONE_ON_ORIGIN_MAIN
PR5,Entry executable fill model,Separate decision mark entry quote and fill with impact slippage fees min_out causal boundary and blocked-by-data reasons,ghost-brain/src/guardian/post_buy/shadow_v2,MEDIUM,cargo test -p ghost-brain shadow_v2,5 entry fill fixtures pass and validation run still required for >=99 coverage,disable fill sim builder,entry fill evidence,no live buy path change,DONE_ON_ORIGIN_MAIN
PR6,Exit executable fill model,Separate mark exit executable sell fill and path replay with static SELL quote causal boundary blockers target stop timeout replay exact sampled separation explicit no-fill failed statuses and not-live limitations,ghost-brain/src/guardian/post_buy/shadow_v2,MEDIUM,cargo test -p ghost-brain shadow_v2_exit,local PR6 fixtures pass and exit reconstruction >=99 still requires validation burnin,disable fill sim,exit fill and path replay evidence,no active close no shadow_close_only no live sell path,DONE_ON_ORIGIN_MAIN
PR7,Path sampler V2,Define dense standard and long horizon sampling with horizon verdicts duplicate non-monotonic metadata event-sample retention storage-budget flags and explicit unsupported-horizon labels,ghost-brain/src/guardian/post_buy/shadow_v2,MEDIUM,cargo test -p ghost-brain shadow_v2_path,local PR7 fixtures pass and density report per horizon still requires validation burnin,disable path sampler,path density and sampler evidence,no strategy claim no 300s/500s inference without long coverage,DONE_ON_ORIGIN_MAIN
PR8,Replay V2 derived view,Generate replay from canonical event stream as derived evidence with mark lane and static executable lane separated,ghost-brain/src/guardian/post_buy/shadow_v2,HIGH,cargo test -p ghost-brain shadow_v2_replay,replay is derived by construction and never competing truth,disable V2 replay derived helper,replay derived view evidence,no competing truth no V1 replay writer change,DONE_ON_ORIGIN_MAIN
PR9,Lifecycle V2 derived view,Generate lifecycle from canonical event stream and reconcile with replay by exact join only,ghost-brain/src/guardian/post_buy/shadow_v2,HIGH,cargo test -p ghost-brain shadow_v2_lifecycle,lifecycle sub-event is not terminal truth and exact replay lifecycle reconciliation passes,disable V2 lifecycle derived helper,lifecycle reconciliation evidence,no duplicate terminal truth no active close no runtime lifecycle change,DONE_ON_ORIGIN_MAIN
PR10,Evidence manifests and retention,Add pre post manifests sha256 row counts schema coverage and required artifact contract,scripts|reports/selector,MEDIUM,python3 scripts/shadow_v2_manifest_audit.py; PYTHONDONTWRITEBYTECODE=1 python3 scripts/test_shadow_v2_manifest_audit.py,manifest contract ready and fixture manifests block missing or malformed evidence,revert scripts and report templates,manifest audit and fixture evidence,no raw log staging no cleanup no run,COMPLETED_ON_PR_BRANCH_PENDING_REVIEW
PR11,Shadow V2 burnin config,Add logging only V2 validation config disabled by default with serde defaults and fail closed approvals,configs/rollout|ghost-brain config,MEDIUM,cargo test -p ghost-brain shadow_v2_config,serde defaults preserve compatibility and logging only profile rejects runtime approval,revert config commit,config load evidence,no runtime approval no close approval no proof enablement,COMPLETED_ON_PR_BRANCH_PENDING_REVIEW
PR12,Shadow V2 Fidelity Validation Burnin Plan,Plan fidelity validation burnin only,PLANS/AUDYT|docs/ADR|configs/rollout,LOW,doc and static guard checks,fidelity reconciliation density manifest gates only,revert plan commit,validation burnin plan,not strategy proof not RCE proof not selector proof not edge proof,PLANNED
PR13,Legacy adapter and downgrade enforcement,Keep V1 reports available but downgraded,docs|reports|scripts,MEDIUM,python3 scripts/shadow_v2_legacy_downgrade_audit.py,no V1 live equivalent citation,revert adapter commit,downgrade enforcement evidence,no V1 deletion,PLANNED
PR14,Live-confirmed calibration dataset,Create calibration dataset required for live-equivalence grade,docs/SPEC|reports|scripts,HIGH,python3 scripts/shadow_v2_live_calibration_audit.py,calibration error report exists,revert calibration tooling,live confirmed comparison evidence,no shadow assumption as live,PLANNED
