metric,value,notes
final_verdict,BLOCKED_RETENTION_CONTRACT_INSUFFICIENT,Existing PR18C scope does not satisfy retention coverage for declared L2 baseline horizons
contract_implementation,L2_D_DENSITY_HORIZON_CONTRACT_IMPLEMENTED,Offline audit now enforces declared horizons undeclared long horizons and retention margin
runtime_decision_behavior_changes,false,No BUY REJECT Gatekeeper selector TX Jito live path shadow_close_only or active close changes
runtime_evidence_schema_changes,false,No Shadow V2 runtime JSON evidence fields were added in L2-D
audit_output_schema_changes,true,Path density audit now emits L2-D contract counters and verdict aliases
new_provider_streams,0,No NLN or provider subscriptions added
declared_supported_horizons_ms,"2000;3000;10000;30000;120000",First L2 baseline supported horizons
undeclared_horizons_ms,"300000;500000",Long horizons are not baseline blockers unless explicitly declared later
undeclared_default_status,NOT_EVALUABLE_UNDECLARED_FOR_L2_BASELINE,300s and 500s cannot support positive research claims in first baseline
retention_margin_ms,1000,Technical replay coverage margin beyond max declared horizon
required_replay_horizon_ms,121000,max declared horizon 120000 plus retention margin 1000
default_scope_root,reports/selector/shadow-v2-fidelity-validation-pr18c-45m-r1,Existing evidence scope used for status check
default_scope_density_rows,7154,Rows read by updated path density audit
default_scope_horizon_count,7,Five declared horizons and two undeclared long horizons present
default_scope_declared_horizon_present_count,5,All declared baseline horizons are present in current scope
default_scope_declared_horizon_missing_count,0,No declared horizon is missing in current scope
default_scope_declared_horizon_retention_blocker_count,5,All declared horizons fail required replay horizon coverage in current scope
default_scope_undeclared_horizon_present_count,2,300000 and 500000 are present but non-blocking for first baseline
undeclared_horizons_block_l2_baseline,false,Long horizons are excluded from baseline blocker denominator
undeclared_horizons_positive_research_claim_allowed,false,Long horizons cannot be used for positive claims while undeclared
sparse_approx_promoted_to_pass,false,SPARSE_APPROX_ONLY blocks declared L2 baseline horizon
missing_declared_horizon_blocks,true,Declared missing horizon emits FAILED_MISSING_DECLARED_HORIZON and blocks audit
retention_shortfall_blocks,true,Declared horizon rows require replay_horizon_ms greater than or equal to required_replay_horizon_ms
python_density_audit_tests,PASS,python3 tests/test_shadow_v2_path_density_horizon_audit.py
py_compile_density_audit,PASS,python3 -m py_compile scripts/shadow_v2_path_density_horizon_audit.py tests/test_shadow_v2_path_density_horizon_audit.py
runtime_approval,false,Not granted
research_grade,false,Not granted
live_equivalence,false,Not granted
strategy_research_unblocked,false,Not granted
shadow_close_only,false,Not enabled
active_close,false,Not enabled
remaining_blocker_gatekeeper_denominator,true,Gatekeeper coverage denominator and starvation audit remain required
remaining_blocker_research_validation,true,Dedicated research validation run remains required
recommended_next_stage,L2-E_GATEKEEPER_COVERAGE_DENOMINATOR_STARVATION_AUDIT,Proceed only after L2-D PR review and merge
