metric,value,notes
final_verdict,PR43E_EVENTORDERKEY_PARTIAL_SOURCE_PROPAGATED_STILL_BLOCKED,L2 still blocked
pr46_merge_commit,4b122658db57d3ef8aa2870af6320877e2c78751,clean main base after PR46 merge
new_nln_subscriptions,0,no broad provider expansion in PR43-E
entry_exact_source_join_rule,source_tx_signature_required,partial fields without signature stay UNKNOWN
entry_fields_propagated,source_block_time|source_tx_signature|source_transaction_index|source_instruction_index,only with exact source join
entry_partial_without_signature,suppressed_unknown,ENTRY_BOUNDARY_SOURCE_JOIN_NOT_PROVEN
entry_handoff_signature_reuse,forbidden_guarded,handoff signature is not pool-state source signature
exit_path_optional_source_fields,source_block_time|source_tx_signature|source_transaction_index|source_instruction_index,shadow-only lifecycle metadata
exit_path_partial_without_signature,suppressed_unknown,EXIT_PATH_SOURCE_JOIN_NOT_PROVEN
inner_group_index_decision,rejected_not_exact,INNER_GROUP_INDEX_NOT_EXACT_INNER_INSTRUCTION_INDEX
inner_instruction_index_or_unknown,UNKNOWN,no exact source contract in PR43-E
log_index_decision,solana_native_not_applicable,internal LOG_MESSAGE_INDEX_INTERNAL only if meta.logMessages enumerated
log_index_synthesized,false,not filled from event ordinal or indexes
has_complete_chain_order_changed,false,NOT_APPLICABLE log does not pass complete chain order
terminal_truth,DERIVED,no chain-observed promotion
event_families_improved,ENTRY_POOL_STATE_BEFORE|ENTRY_ATTEMPT|ENTRY_FILL|PATH_SAMPLE|EXIT_ATTEMPT|EXIT_POOL_STATE_BEFORE|EXIT_FILL,guarded source propagation path
account_data_hash,blocked,not solved in PR43-E
density_sample_size,blocked,not solved in PR43-E
realized_slippage,not_solved,explicit non-goal
quote_fill_divergence,not_solved,explicit non-goal
runtime_approval,false,approval flag remains false
shadow_close_only_approval,false,approval flag remains false
active_close_approval,false,approval flag remains false
research_grade,false,approval flag remains false
live_equivalence,false,approval flag remains false
strategy_research_unblocked,false,approval flag remains false
cargo_test_ghost_brain_shadow_v2_event_order,PASS,5 matching tests passed
cargo_test_ghost_launcher_shadow_v2_event_order,PASS,3 matching tests passed
cargo_test_ghost_launcher_no_decision_consumption_guard,PASS,static guard passed
cargo_check_ghost_brain,PASS,warnings only
cargo_check_ghost_launcher,PASS,warnings only
cargo_fmt_check,PASS,formatted
py_compile_temporal_no_lookahead_audit,PASS,script compiles
git_diff_check,PASS,no whitespace errors
git_diff_cached_check,PASS,no staged whitespace errors
forbidden_staged_file_guard,PASS,no forbidden runtime or private files staged
