gap_id,required_for_live_equivalence,covered_by_pr14_contract,covered_by_real_dataset,blocking_without_dataset,evidence_artifact,required_audit_rule,notes
LIVE_CAL_DECISION_TO_SUBMIT_LATENCY,true,true,false,true,live_transaction_attempts.jsonl,decision_to_submit_ms matches submit_ts_ms minus decision_ts_ms,latency must be measured not assumed zero
LIVE_CAL_SUBMIT_TO_LAND_LATENCY,true,true,false,true,live_transaction_attempts.jsonl,submit_to_land_ms matches landing_ts_ms minus submit_ts_ms,landing delay required before live-equivalence
LIVE_CAL_LANDING_SLOT,true,true,false,true,live_transaction_attempts.jsonl,landing_slot concrete non-negative chain slot,submit is not confirmation
LIVE_CAL_FAILED_LANDING,true,true,false,true,live_transaction_attempts.jsonl,FAILED attempt has explicit failure_mode,unknown execution is not success
LIVE_CAL_NO_FILL,true,true,false,true,live_transaction_attempts.jsonl,NO_FILL attempt has explicit failure_mode,guaranteed fill assumption forbidden
LIVE_CAL_ENTRY_SLIPPAGE,true,true,false,true,live_confirmed_entry_fills.jsonl,realized_slippage_bps present,configured tolerance is not realized slippage
LIVE_CAL_EXIT_SLIPPAGE,true,true,false,true,live_confirmed_exit_fills.jsonl,realized_slippage_bps present,configured tolerance is not realized slippage
LIVE_CAL_OWN_BUY_IMPACT,true,true,false,true,live_confirmed_entry_fills.jsonl,own_impact_bps present,own impact must be measured or calibrated
LIVE_CAL_OWN_SELL_IMPACT,true,true,false,true,live_confirmed_exit_fills.jsonl,own_impact_bps present,own impact must be measured or calibrated
LIVE_CAL_FEES_AND_TIPS,true,true,false,true,live_confirmed_entry_fills.jsonl|live_confirmed_exit_fills.jsonl,fee_bps priority_fee_lamports jito_tip_lamports present,fee model must include AMM fee and execution fee evidence
LIVE_CAL_QUOTE_FILL_DIVERGENCE,true,true,false,true,live_confirmed_entry_fills.jsonl|live_confirmed_exit_fills.jsonl,quote_fill_diff_bps present,quote is not fill
LIVE_CAL_ACCOUNT_STATE_DELAY,true,true,false,true,live_confirmed_entry_fills.jsonl|live_confirmed_exit_fills.jsonl,account_state_delay_ms present,state visibility delay required
LIVE_CAL_STREAM_DELAY,true,true,false,true,live_confirmed_entry_fills.jsonl|live_confirmed_exit_fills.jsonl,stream_delay_ms present,stream delay required
LIVE_CAL_MODEL_ERROR,true,true,false,true,live_calibration_comparison.jsonl,model_error_bps and slippage_error_bps present,calibrated model error report required before live-equivalence
LIVE_CAL_OUTCOME_PARITY,true,true,false,true,live_calibration_comparison.jsonl,outcome_match present,model must compare filled no-fill failure outcomes
