metric,value,notes
final_verdict,L2_C_TEMPORAL_SOURCE_PROOF_CLOSED_STILL_DENSITY_BLOCKED,Code-level Solana proof classification is wired but L2 still needs density denominator and research validation
runtime_decision_behavior_changes,false,No BUY REJECT Gatekeeper selector TX Jito live path shadow_close_only or active close changes
runtime_evidence_schema_changes,false,No Shadow V2 runtime JSON evidence fields were added in L2-C
audit_output_schema_changes,true,Temporal audit now emits L2-C proof counters and verdict aliases
new_provider_streams,0,No NLN or provider subscriptions added
has_complete_chain_order_changed,false,Backward-compatible complete chain order predicate remains unchanged
transaction_source_proof_separate,true,Transaction-like rows use slot block_time signature tx_index and instruction_index
account_state_source_proof_separate,true,Pool-state rows use account hash source account pubkey source slot and write_version
pool_state_requires_fake_transaction_proof,false,Account-state proof does not require fake transaction signature
log_index_solana_native,NOT_APPLICABLE,Solana has no native EVM-style logIndex
log_index_completes_chain_order,false,NOT_APPLICABLE log index does not make has_complete_chain_order pass
inner_group_index_mapped_to_inner_instruction_index,false,No silent mapping from inner_group_index to inner_instruction_index
event_seq_chain_order_substitute_allowed,false,event_seq_in_process remains process-local ordering only
fake_handoff_signature_allowed,false,Audit blocks handoff signature used as source signature
terminal_truth_source_classification,DERIVED,Terminal truth is derived outcome evidence not chain-observed source
temporal_audit_verdict_metric,implemented,temporal_audit_verdict mirrors verdict for explicit report consumption
transaction_source_proof_complete_count_metric,implemented,Temporal audit reports complete transaction proof rows
account_state_source_proof_complete_count_metric,implemented,Temporal audit reports complete account-state proof rows
unknown_required_source_count_metric,implemented,Temporal audit reports proof-required missing source fields
not_applicable_accepted_count_metric,implemented,Temporal audit reports accepted NOT_APPLICABLE classifications
fake_handoff_signature_count_metric,implemented,Temporal audit reports fake handoff signature count
event_seq_chain_order_substitute_count_metric,implemented,Temporal audit reports event_seq exact-order substitute attempts
terminal_truth_derived_count_metric,implemented,Temporal audit reports derived terminal truth rows
rust_test_solana_transaction_source_proof,PASS,cargo test -p ghost-brain shadow_v2_solana_transaction_source_proof -- --nocapture
rust_test_account_state_source_proof,PASS,cargo test -p ghost-brain shadow_v2_account_state_source_proof -- --nocapture
python_temporal_audit_tests,PASS,python3 tests/test_shadow_v2_temporal_no_lookahead_audit.py
py_compile_temporal_audit,PASS,python3 -m py_compile scripts/shadow_v2_temporal_no_lookahead_audit.py tests/test_shadow_v2_temporal_no_lookahead_audit.py
runtime_approval,false,Not granted
research_grade,false,Not granted
live_equivalence,false,Not granted
strategy_research_unblocked,false,Not granted
shadow_close_only,false,Not enabled
active_close,false,Not enabled
remaining_blocker_density,true,Density horizon and retention contract remain required
remaining_blocker_gatekeeper_denominator,true,Gatekeeper coverage denominator and starvation audit remain required
remaining_blocker_research_validation,true,Dedicated research validation run remains required
recommended_next_stage,L2-D_DENSITY_HORIZON_RETENTION_CONTRACT,Proceed only after L2-C PR review and merge
