work_item,scope,file_path,implementation_action,acceptance_gate,runtime_risk,notes
PR18A_common_helpers,adapter,ghost-launcher/src/components/post_buy_runtime.rs,Add common Shadow V2 envelope/event-order/source-ref helpers for real handoff records,Helpers preserve candidate_id position_id pool_id base_mint run_id and source refs,LOW,Logging-only harness path
PR18A_append_outcome,adapter,ghost-launcher/src/components/post_buy_runtime.rs,Centralize append_record outcome logging for canonical and derived writes,Derived failure does not mutate runtime decision or approval flags,LOW,Reuse ShadowV2HarnessAppendOutcome
PR18B_entry_attempt,entry,ghost-launcher/src/components/post_buy_runtime.rs,Emit ShadowEntryAttemptV2 on accepted shadow handoff or simulation start,Rows contain decision_ts submit/sim_start slot quote/min_out or typed missing reason,MEDIUM,No BUY/REJECT change
PR18B_pool_state_entry,entry,ghost-launcher/src/components/post_buy_runtime.rs,Emit or reference PoolStateSampleV2 for entry where causal state is available,Missing reserves/hash/staleness creates typed blocked evidence not fabricated state,MEDIUM,Prefer AccountStateCore then simulation RPC context
PR18B_entry_fill,entry,ghost-launcher/src/components/post_buy_runtime.rs,Emit ShadowEntryFillV2 via from_static_buy_model or BLOCKED_BY_DATA,Entry fill row exists for real position and is linked to entry attempt/source refs,MEDIUM,No live fill claim
PR18C_path_samples,path,ghost-launcher/src/components/post_buy_runtime.rs,Emit ShadowPathSampleV2 during monitoring ticks and terminal sample,Path sample rows > 0 when price state exists or typed no-coverage reason,MEDIUM,No executable PnL without quote model
PR18C_density,path,ghost-brain/src/guardian/post_buy/shadow_v2.rs,Ensure density derived rows reflect real path sample coverage,Density not all NOT_EVALUABLE_NO_COVERAGE when path samples exist,LOW,May need tests only if derived logic already supports it
PR18D_exit_attempt,exit,ghost-launcher/src/components/post_buy_runtime.rs,Emit ShadowExitAttemptV2 on target stop time_stop or blocked close,Exit attempt row includes trigger_ts trigger_slot trigger_source tie_break fields,MEDIUM,TimeStop maps from lifecycle close reason
PR18D_exit_fill,exit,ghost-launcher/src/components/post_buy_runtime.rs,Emit ShadowExitFillV2 via from_static_sell_model or BLOCKED_BY_DATA,Exit fill row exists for real position or typed blocker explains missing input,MEDIUM,No executable sell claim without model inputs
PR18D_terminal_truth,terminal,ghost-launcher/src/components/post_buy_runtime.rs,Emit exactly one ShadowTerminalTruthV2 per position on position_closed,Canonical stream rejects duplicate terminal truth and replay/lifecycle derive terminal ids,HIGH,Must dedupe legacy exit_filled plus position_closed
PR18E_manifest_gates,audit,reports/selector/shadow_v2_required_schema_manifest.csv,Add or verify manifest coverage expectations for V2 fill/path/terminal records,Post-implementation validation burnin can audit V2-only evidence,LOW,Do not require rows in pre-run phase
PR18E_acceptance_gates,audit,reports/selector/shadow_v2_acceptance_gates.csv,Add gates for entry/exit/path/terminal V2-only evidence,Unsupported or missing data produces typed blocked verdict not silent pass,LOW,Report-only follow-up run will consume gates
PR18_tests_brain,tests,ghost-brain/src/guardian/post_buy/shadow_v2.rs,Extend existing fixture if needed for complete closed stream,Replay lifecycle derived rows include entry exit terminal ids,LOW,Types already have extensive tests
PR18_tests_runtime,tests,ghost-launcher/src/components/post_buy_runtime.rs,Add component fixture for handoff through terminal lifecycle emission,Test emits position entry path exit terminal without decision consumption,HIGH,Primary PR18 implementation proof
PR18_static_guard,boundary,repo static guards,Keep no-decision-consumption and no-live-path consumption checks green,No Shadow V2 artifact is read by Gatekeeper selector BUY/REJECT TX path,HIGH,Hard boundary
Post_PR18_validation_run,validation,PLANS/AUDYT,Run separate V2-only fidelity validation burnin after implementation,Requires entry fill exit fill terminal truth path samples density and reconciliation,MEDIUM,No strategy proof or runtime approval
