dimension,item,status,severity,details
missing_metrics_inventory,slot/block position,partial,WARN,some lifecycle slot fields exist but not uniformly in replay summaries
missing_metrics_inventory,actual landing latency,missing_or_partial,WARN,shadow lifecycle has timestamps; real live landing latency is not available
missing_metrics_inventory,priority fee/Jito tip,missing_or_partial,WARN,not consistently present in replay-level CSVs
missing_metrics_inventory,path sample density,present,INFO,shadow_exit_replay_v1 has path_points_written/heartbeat_ms/truncated
missing_metrics_inventory,same-slot target/stop ambiguity,missing_or_partial,WARN,first_hit_ms is ms-level; same-slot ordering not guaranteed
missing_metrics_inventory,entry slippage,missing_or_partial,WARN,entry_price exists; quote/fill divergence not consistently captured
missing_metrics_inventory,exit slippage,missing_or_partial,WARN,exit lifecycle price exists; simulated replay slippage not equivalent
missing_metrics_inventory,tx ordering within slot,missing,WARN,not available in replay CSVs
missing_metrics_inventory,quote/fill divergence,missing_or_partial,WARN,not consistently captured for shadow replay
missing_metrics_inventory,MFE/MAE before entry,missing_or_partial,WARN,RCE pre-entry surface only after new logging; old scopes incomplete
missing_metrics_inventory,MFE/MAE after entry,present,INFO,shadow_exit_replay_v1 has mfe_bps/mae_bps
missing_metrics_inventory,time-to-MFE,present,INFO,shadow_exit_replay_v1 has time_to_mfe_ms
missing_metrics_inventory,time-to-MAE,present,INFO,shadow_exit_replay_v1 has time_to_mae_ms
missing_metrics_inventory,follow-through after impulse,missing_or_partial,WARN,requires RCE surface/fresh decision rows
missing_metrics_inventory,session heat,missing_or_partial,WARN,RCE session_regime_snapshot_v1 required for new scopes
missing_metrics_inventory,false-negative missed winners,missing,WARN,rejected opportunities without replay path are not fully represented
missing_metrics_inventory,opportunity cost,missing,WARN,not measured by current shadow replay reports
final_verdict,research_metrology_audit,METROLOGY_PASS_WITH_WARNINGS,WARN,replay_lifecycle_warn=shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2;long_horizon_not_evaluable=shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2;tie_break_sign_flip_scope=shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1;replay_lifecycle_warn=shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1;long_horizon_not_evaluable=shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1;replay_lifecycle_warn=shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1;long_horizon_not_evaluable=shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1;replay_lifecycle_active_partial=shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1
runtime_boundary,runtime_change,false,INFO,"audit is offline-only; no runtime, BUY/REJECT, Gatekeeper, selector, TX/Jito/live path changes"
raw_log_commit_boundary,raw_jsonl_logs,not_committed,INFO,script reads local JSONL evidence but outputs only compact CSV/MD reports
warning,replay_lifecycle_warn,WARN,WARN,replay_lifecycle_warn=shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2
warning,long_horizon_not_evaluable,WARN,WARN,long_horizon_not_evaluable=shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2
warning,tie_break_sign_flip_scope,WARN,WARN,tie_break_sign_flip_scope=shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1
warning,replay_lifecycle_warn,WARN,WARN,replay_lifecycle_warn=shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1
warning,long_horizon_not_evaluable,WARN,WARN,long_horizon_not_evaluable=shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1
warning,replay_lifecycle_warn,WARN,WARN,replay_lifecycle_warn=shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1
warning,long_horizon_not_evaluable,WARN,WARN,long_horizon_not_evaluable=shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1
warning,replay_lifecycle_active_partial,WARN,WARN,replay_lifecycle_active_partial=shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1
warning,long_horizon_not_evaluable,WARN,WARN,long_horizon_not_evaluable=shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1
warning,long_horizon_surface_insufficient_300000_500000,WARN,WARN,long_horizon_surface_insufficient_300000_500000
