candidate_id,code_path,data_type,phase,before_exit_fill,deterministic,no_lookahead,reserves_available,token_decimals_lamports,sell_amount_source,min_out_source,boundary_slot_order,account_data_hash_status,current_shadow_v2_wiring,candidate_verdict,notes
"exit_account_state_core_lifecycle_boundary","ghost-brain/src/guardian/post_buy/engine.rs::MonitoringEngine::shadow_v2_exit_pool_state_sample_from_lifecycle","CanonicalPoolState -> PoolStateSampleV2","POST_ENTRY_EXIT_BOUNDARY","true","true_if_captured_during_lifecycle_append","true_for_diagnostic_boundary_if_not_re-read_later","true_virtual_and_real_reserves_from_CanonicalPoolState","token_decimals_assumed_6_sol_lamports_1000000000","not_amount_source","none","state.last_update_slot plus lifecycle sample_ts and event_seq offset 3; chain order mostly UNKNOWN","unavailable_not_fake","emits pool_state_sample_v2 before shadow_exit_fill_v2 when AccountStateCore has state","PRESENT","Primary EXIT_BEFORE source for PR38-B. Brak account_data_hash degraduje do DIAGNOSTIC_SIM/research_provenance_ready=false."
"exit_fill_pool_state_before_ref","ghost-brain/src/guardian/post_buy/engine.rs::append_shadow_v2_lifecycle_record + shadow_v2_exit_fill_from_lifecycle","shadow_exit_fill_v2.pool_state_before ref","POST_ENTRY_TO_POST_EXIT","true","true_if_pool_sample_was_emitted","true_if_referenced pool sample is causal-safe","via referenced PoolStateSampleV2","via referenced PoolStateSampleV2","not_amount_source","none","fill order key uses exit_landed_slot or exit_sample_slot and event_seq offset 4","inherits referenced sample status","current wiring links pool_state_before but still uses blocked_with_pool_state","PRESENT","Current wiring carries the ref, but does not yet run ShadowV2FillEngine sell path."
"remaining_token_amount_raw_for_sell","ghost-brain/src/guardian/post_buy/engine.rs::MonitoredPosition.remaining_token_amount_raw + shadow_exit_token_amount_raw","u64 token raw amount","POST_ENTRY_POSITION_STATE","true","true_for_tracked_shadow_position","true_if_position_state_from_entry_fill_handoff_and_lifecycle_updates","not_pool_state","not_applicable","remaining_token_amount_raw or proportional entry_token_amount_raw by fraction_bps","none","position lifecycle ordering only; not chain order","not_applicable","available in MonitoringEngine position and lifecycle record.exit_token_amount_raw","PRESENT","Sell input amount exists for shadow runtime exits; it is not sufficient without EXIT_BEFORE pool state."
"static_exit_fee_slippage_model","ghost-brain/src/guardian/post_buy/shadow_v2.rs::ShadowExitFillModelConfig::bonding_curve","fee_bps and slippage_tolerance_bps config","FILL_MODEL_STATIC","true","true","true_as_model_assumption_not_live_telemetry","not_pool_state","not_applicable","not_amount_source","derived min_output from formula when min_out_raw is absent","not_boundary_source","not_applicable","constructor exists but runtime path currently does not call it from lifecycle","PRESENT","PR38-B can use configured assumptions for DIAGNOSTIC_SIM. It must not label these as realized slippage or live fee telemetry."
"selected_shadow_path_sample_mark_boundary","ghost-brain/src/guardian/post_buy/engine.rs::shadow_v2_path_sample_from_lifecycle","ShadowPathSampleV2 from legacy lifecycle mark","POST_ENTRY_MARK_SAMPLE","true","deterministic_as_logged_mark","ambiguous_for_exit_pool_state","false_current_path_uses_legacy_lifecycle_mark","none","not_amount_source","none","has sample_slot or exit_sample_slot and event_seq offset 1","not_applicable","emitted for exit-filled/blocked/closed lifecycle records","AMBIGUOUS","Can identify a mark/path timing point, but current constructor uses from_legacy_lifecycle_mark and does not carry a pool_state_ref suitable as EXIT_BEFORE."
"latest_post_entry_account_state_core_state","ghost-brain/src/guardian/post_buy/engine.rs::MonitoringEngine::current_canonical_state","CanonicalPoolState current copy","POST_ENTRY_MUTABLE_STATE","ambiguous","true_as_current_state","ambiguous_unless_read_is_bound_to_exit_boundary","true","token_decimals must be supplied externally; lamports constant","not_amount_source","none","has last_update_slot and last_update_ts_ms but read-time boundary must be explicit","unavailable","used by shadow_v2_exit_pool_state_sample_from_lifecycle","AMBIGUOUS","As a raw mutable latest read it is not enough; as captured inside exit lifecycle boundary it becomes the PRESENT candidate above."
"sell_min_out_raw","no current dedicated source found in PostBuyRuntime/MonitoringEngine exit lifecycle","Option<u64> absent","EXIT_FILL_MODEL_INPUT","false","missing","missing","not_pool_state","not_applicable","not_amount_source","missing; only formula min_output from slippage tolerance can be computed","none","not_applicable","not wired","MISSING","PR38-B can run diagnostic model with min_out_raw=None and computed min_output; it cannot claim real min_out protection."
"real_live_sell_telemetry","live TX/Jito/sell path if enabled","landed sell transaction telemetry","LIVE_CONFIRMED_ONLY","not_for_shadow","not_available_in_shadow_burnin","not_shadow_no_lookahead_source","unknown","unknown","possibly actual sold amount only in live","possibly real min_out only in live","actual landing slot/signature only in live","could exist only in live tx evidence","not available to shadow diagnostic validation","MISSING","Not allowed for PR38-A0/PR38-B shadow diagnostic proof; required only for L3 live-equivalence calibration."
"current_exit_fill_constructor_path","ghost-brain/src/guardian/post_buy/engine.rs::shadow_v2_exit_fill_from_lifecycle","ShadowExitFillV2 blocked constructor","POST_EXIT_FILL_RECORD","true","deterministic_blocked_record","true_as_blocked_record_not_execution","pool_state_ref_optional","via linked sample if present","record.exit_token_amount_raw checked but not used by engine","none","fill order key exists","inherits blockers","currently calls blocked_with_pool_state or blocked_without_pool_state","MISSING","Executable wiring is missing: current runtime does not call ShadowExitFillV2::from_static_sell_model from lifecycle evidence."
"late_postbuy_runtime_account_state_core_read","ghost-launcher/src/components/post_buy_runtime.rs::PostBuyRuntimeConfig.account_state_core","AccountStateReducer late read","POSTBUY_RUNTIME_LATE_READ","false","mutable_latest","lookahead_risk","true_if_state_exists","requires external decimals/lamports","not_amount_source","none","not tied to exit trigger unless separately captured","unavailable","config exists but should not be used as shortcut","REJECTED","Rejected as EXIT_BEFORE unless a historical snapshot is bound to exit boundary; current acceptable source is MonitoringEngine lifecycle boundary capture."
