claim_id,claim_text,status,proof_type,artifact_path,source_file,source_function_or_struct,sample_scope,sample_pool_or_mint,numeric_result,limitations
ENTRY_PRICE_SOURCE_KNOWN,Shadow entry price source is known in code and artifacts.,PARTIALLY_PROVEN,source_code_trace,reports/selector/shadow_fidelity_entry_price_reconstruction.csv,ghost-launcher/src/oracle_runtime.rs,shadow_entry_record_from_event/request,ALL,,15327,source is known as shadow/synthetic entry price; exact live fill source is not proven
ENTRY_PRICE_RECONSTRUCTABLE,Entry price can be independently reconstructed from reserve/state evidence.,PARTIALLY_PROVEN,independent_reconstruction,reports/selector/shadow_fidelity_entry_price_reconstruction.csv,ghost-launcher/src/session/observation.rs,MaterializedFeatureSet account_features,ALL,,within_tolerance=0;partial=6213;total=15327,reconstruction is often decision mark only; missing exact entry-state reserves blocks stronger proof
ENTRY_PRICE_NOT_FROM_FUTURE_STATE,Entry price state is not from future/post-decision state.,PARTIALLY_PROVEN,source_code_trace,reports/selector/shadow_fidelity_pool_state_provenance.csv,ghost-launcher/src/oracle_runtime.rs,shadow entry timing source,ALL,,,artifact state timestamp/slot evidence is incomplete in some scopes
ENTRY_PRICE_LIVE_EQUIVALENT,Entry price is live-equivalent fill price.,DISPROVEN,missing_evidence,reports/selector/shadow_fidelity_live_equivalence_gap.csv,ghost-brain/src/execution/shadow.rs,ShadowBackend::execute_prepared_entry,ALL,,,"landing latency, live slippage, failed tx, own impact are not modeled in replay"
EXIT_PRICE_SOURCE_KNOWN,Exit price/path source is known.,PROVEN,source_code_trace,reports/selector/shadow_fidelity_exit_price_reconstruction.csv,ghost-brain/src/guardian/post_buy/exit_replay.rs,observe_price_sample,ALL,,15327,"known as shadow observed price samples, not executable sell fills"
EXIT_RESULT_RECONSTRUCTABLE,Exit result is independently reconstructable.,PROVEN,independent_reconstruction,reports/selector/shadow_fidelity_exit_price_reconstruction.csv,scripts/shadow_burnin_fidelity_audit.py,simulate_exit_from_path / classify_result_from_hits,ALL,,match=15327/15327,path compression can make exact-level and sampled-path interpretations differ
FIRST_HIT_MS_CONSISTENT_WITH_PATH,first_hit_ms is consistent with path_bps.,PARTIALLY_PROVEN,independent_reconstruction,reports/selector/shadow_fidelity_exit_price_reconstruction.csv,ghost-brain/src/guardian/post_buy/exit_replay.rs,first_hit_ms update,ALL,,result_match=15327/15327,first_hit_ms is exact-level state; path_bps is capped/compressed and may not carry all crossings
TIMEOUT_PNL_CONSISTENT_WITH_PATH,Timeout PnL is consistent with path terminal point.,PARTIALLY_PROVEN,independent_reconstruction,reports/selector/shadow_fidelity_exit_price_reconstruction.csv,scripts/shadow_burnin_fidelity_audit.py,exact_pnl_from_logged_path,ALL,,pnl_ok=11630/15327,timeout uses last known point if no exact max_hold sample exists
MFE_MAE_CONSISTENT_WITH_PATH,MFE/MAE are consistent with path.,PARTIALLY_PROVEN,independent_reconstruction,reports/selector/shadow_fidelity_exit_price_reconstruction.csv,ghost-brain/src/guardian/post_buy/exit_replay.rs,observe_price_sample,ALL,,,MFE/MAE are over all observed samples; compressed path can be insufficient for exact reconstruction
POOL_STATE_SNAPSHOT_TEMPORALLY_SAFE,Pool state snapshot is temporally safe.,PARTIALLY_PROVEN,source_code_trace,reports/selector/shadow_fidelity_pool_state_provenance.csv,ghost-brain/src/oracle/snapshot_engine.rs,SnapshotEngine,ALL,,,slot/timestamp provenance is incomplete for some historical scopes
