report_family,downgraded_from,allowed_use,blocked_use,required_label,upgrade_condition
ORG-A0,live-equivalent selection proof,offline path-label diagnostic under Shadow V1 assumptions,runtime approval or live PnL proof,OFFLINE_PATH_LABEL_ONLY,Shadow V2 research-grade audit passes
R48_R2_exit_matrix,live-equivalent exit matrix,offline mark/path matrix,executable sell fill proof,MARK_PRICE_REPLAY_ONLY,Shadow V2 executable exit model passes
TSV2_A1_A2_A3,active close proof,diagnostic only under replay assumptions,shadow_close_only or active close approval,DIAGNOSTIC_ONLY,Shadow V2 lifecycle replay reconciliation >=99 and exit fill model passes
EIX,complete executable index evidence,data-blocked diagnostic,live execution inference,DATA_BLOCKED,required execution evidence collected under V2 contract
RTP_A0,live-equivalent RTP proof,diagnostic mark/path evidence,runtime promotion,DIAGNOSTIC_ONLY,Shadow V2 research-grade audit passes
RUG_MARKUP_A0,live fill markup proof,component replay diagnostic,live fill or slippage proof,COMPONENT_REPLAY_ONLY,Shadow V2 calibrated fill model passes
RCE_A0,complete RCE proof,blocked by missing surface and V1 fidelity mismatch,RCE runtime approval,BLOCKED_BY_MISSING_SURFACE,Shadow V2 evidence surface and fidelity gates pass
R51,completed strategy evidence,ACTIVE_PARTIAL diagnostic only,strategy proof or RCE proof,ACTIVE_PARTIAL_DIAGNOSTIC_ONLY,completed post-run manifest plus Shadow V2 fidelity audit
Shadow_V1_lifecycle,canonical terminal truth,legacy lifecycle evidence with duplicate caveats,unified position truth,LIFECYCLE_V1_NOT_CANONICAL,Shadow V2 terminal truth by construction
shadow_exit_replay_v1,executable sell fill proof,offline mark/path replay evidence,live-equivalent exit proof,MARK_PRICE_REPLAY_ONLY,Shadow V2 executable exit fill model and calibration
