field_name,source_artifact,source_path,first_available_time,used_by_research,used_as_feature,used_as_label,temporal_class,leakage_risk,evidence,notes
materialized_feature_snapshot.account_features.current_reserves,gatekeeper_v2_decisions.jsonl,ghost-launcher/src/session/observation.rs,AT_DECISION,True,True,False,AT_DECISION,LOW,emitted inside MaterializedFeatureSet decision snapshot,feature leakage only if OUTCOME/UNKNOWN fields are fed into selector features
materialized_feature_snapshot.decision_time_series,gatekeeper_v2_decisions.jsonl,ghost-launcher/src/session/observation.rs,AT_DECISION,True,True,False,AT_DECISION,LOW,"bounded observation-window evidence, not post-entry by contract",feature leakage only if OUTCOME/UNKNOWN fields are fed into selector features
materialized_feature_snapshot.pre_entry_path_summary_v1,gatekeeper_v2_decisions.jsonl,ghost-launcher/src/session/observation.rs,AT_DECISION,True,True,False,AT_DECISION,LOW,serialized as pre-entry summary in MFS,feature leakage only if OUTCOME/UNKNOWN fields are fed into selector features
selector_shadow_score_v1.score,selector_shadow_score_v1.jsonl,ghost-brain/src/oracle/decision_logger.rs,AT_DECISION,True,True,False,AT_DECISION,LOW,selector sidecar score emitted at decision logging boundary,feature leakage only if OUTCOME/UNKNOWN fields are fed into selector features
shadow_exit_replay_v1.path_bps,shadow_exit_replay_v1.jsonl,ghost-brain/src/guardian/post_buy/exit_replay.rs,OUTCOME,True,False,True,OUTCOME,LOW_AS_LABEL_HIGH_AS_FEATURE,"post-entry path; valid only as label/outcome, not as selection feature",feature leakage only if OUTCOME/UNKNOWN fields are fed into selector features
shadow_exit_replay_v1.first_hit_ms,shadow_exit_replay_v1.jsonl,ghost-brain/src/guardian/post_buy/exit_replay.rs,OUTCOME,True,False,True,OUTCOME,LOW_AS_LABEL_HIGH_AS_FEATURE,derived from post-entry price samples,feature leakage only if OUTCOME/UNKNOWN fields are fed into selector features
shadow_exit_replay_v1.mfe_bps,shadow_exit_replay_v1.jsonl,ghost-brain/src/guardian/post_buy/exit_replay.rs,OUTCOME,True,False,True,OUTCOME,LOW_AS_LABEL_HIGH_AS_FEATURE,post-entry max favourable excursion,feature leakage only if OUTCOME/UNKNOWN fields are fed into selector features
shadow_exit_replay_v1.mae_bps,shadow_exit_replay_v1.jsonl,ghost-brain/src/guardian/post_buy/exit_replay.rs,OUTCOME,True,False,True,OUTCOME,LOW_AS_LABEL_HIGH_AS_FEATURE,post-entry max adverse excursion,feature leakage only if OUTCOME/UNKNOWN fields are fed into selector features
shadow_lifecycle.final_pnl_pct,shadow_lifecycle.jsonl,ghost-brain/src/guardian/post_buy/engine.rs,OUTCOME,True,False,True,OUTCOME,LOW_AS_LABEL_HIGH_AS_FEATURE,terminal lifecycle outcome,feature leakage only if OUTCOME/UNKNOWN fields are fed into selector features
shadow_lifecycle.close_reason,shadow_lifecycle.jsonl,ghost-brain/src/guardian/post_buy/engine.rs,OUTCOME,True,False,True,OUTCOME,LOW_AS_LABEL_HIGH_AS_FEATURE,terminal lifecycle outcome classification,feature leakage only if OUTCOME/UNKNOWN fields are fed into selector features
live_landing_latency,missing_or_live_execution_artifact,ghost-brain/src/execution,UNKNOWN,True,False,False,UNKNOWN,HIGH,not present in shadow replay rows; cannot be used for live-equivalent proof,feature leakage only if OUTCOME/UNKNOWN fields are fed into selector features
